sheet_name,entry,row,column,message
Other_Grants_V3,4,10,D,"The data (3853) is of type (<class 'int'>) but the expected type is (NUM11V2_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,31,10,AE,"The data (100) is of type (<class 'int'>) but the expected type is (NUM11V2_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,32,10,AF,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,33,10,AG,"The data (250) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,37,10,AK,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,31,11,AE,"The data (200) is of type (<class 'int'>) but the expected type is (NUM11V2_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,32,11,AF,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,33,11,AG,"The data (250) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,37,11,AK,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,31,12,AE,"The data (300) is of type (<class 'int'>) but the expected type is (NUM11V2_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,32,12,AF,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,33,12,AG,"The data (250) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,37,12,AK,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,31,13,AE,"The data (400) is of type (<class 'int'>) but the expected type is (NUM11V2_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,32,13,AF,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,33,13,AG,"The data (250) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
Other_Options_V3,37,13,AK,"The data (0) is of type (<class 'int'>) but the expected type is (NUM13V4_TYPE)! Note, this might not be an issue if the digits after the decimnal are all 0's."
